title,url
eyeCode Trial #310 (between functions),http://www.youtube.com/watch?v=yBH6Ew6da38&feature=youtube_gdata
eyeCode Trial #309 (rectangle basic),http://www.youtube.com/watch?v=gwAT6mvlR3Q&feature=youtube_gdata
eyeCode Trial #308 (order shuffled),http://www.youtube.com/watch?v=WsYdXNFDLso&feature=youtube_gdata
eyeCode Trial #307 (scope samename),http://www.youtube.com/watch?v=ptRRJFqGs4M&feature=youtube_gdata
eyeCode Trial #306 (partition unbalanced),http://www.youtube.com/watch?v=Cwf_3IxBw3g&feature=youtube_gdata
eyeCode Trial #305 (funcall space),http://www.youtube.com/watch?v=CQ-tQfVrGBI&feature=youtube_gdata
eyeCode Trial #304 (initvar good),http://www.youtube.com/watch?v=r1MRrOlLhW8&feature=youtube_gdata
eyeCode Trial #303 (whitespace zigzag),http://www.youtube.com/watch?v=dLJn1XnOcEQ&feature=youtube_gdata
eyeCode Trial #302 (counting nospace),http://www.youtube.com/watch?v=ToVXvMVoub4&feature=youtube_gdata
eyeCode Trial #301 (overload strings),http://www.youtube.com/watch?v=Vcth9LfMFgw&feature=youtube_gdata
eyeCode Trial #300 (overload plusmixed),http://www.youtube.com/watch?v=8O5hCMaYdI0&feature=youtube_gdata
eyeCode Trial #299 (counting twospaces),http://www.youtube.com/watch?v=JQMMVwEgESM&feature=youtube_gdata
eyeCode Trial #298 (whitespace linedup),http://www.youtube.com/watch?v=Dqh2nUgPvq4&feature=youtube_gdata
eyeCode Trial #297 (partition unbalanced_pivot),http://www.youtube.com/watch?v=Fpm0oJ2AnkY&feature=youtube_gdata
eyeCode Trial #296 (between inline),http://www.youtube.com/watch?v=Ac7vYC1kiQM&feature=youtube_gdata
eyeCode Trial #295 (order inorder),http://www.youtube.com/watch?v=k3VQiaypG8U&feature=youtube_gdata
eyeCode Trial #294 (initvar bothbad),http://www.youtube.com/watch?v=rBb_kiSmvqU&feature=youtube_gdata
eyeCode Trial #293 (rectangle class),http://www.youtube.com/watch?v=R4gHsCEO8fs&feature=youtube_gdata
eyeCode Trial #292 (scope diffname),http://www.youtube.com/watch?v=Kz4N2t6rOPs&feature=youtube_gdata
eyeCode Trial #291 (funcall nospace),http://www.youtube.com/watch?v=5Ejy8U3Gufw&feature=youtube_gdata
eyeCode Trial #290 (partition balanced),http://www.youtube.com/watch?v=B_kxUsTOyWM&feature=youtube_gdata
eyeCode Trial #289 (overload multmixed),http://www.youtube.com/watch?v=N27IFXhnBx4&feature=youtube_gdata
eyeCode Trial #288 (counting nospace),http://www.youtube.com/watch?v=om02_H3Vus4&feature=youtube_gdata
eyeCode Trial #287 (scope samename),http://www.youtube.com/watch?v=Js2KcnxLvSY&feature=youtube_gdata
eyeCode Trial #286 (order shuffled),http://www.youtube.com/watch?v=NrfA0VOMsxE&feature=youtube_gdata
eyeCode Trial #285 (whitespace zigzag),http://www.youtube.com/watch?v=e2eE7wVjp9Q&feature=youtube_gdata
eyeCode Trial #284 (funcall vars),http://www.youtube.com/watch?v=Gnhz5HEz5D0&feature=youtube_gdata
